review_id,store,user_name,rating,title,body,submitted_at
play_85762ef2-ddc2-4abe-98c7-f1c63f9bb725,GOOGLE_PLAY,SATYAM SINGH,1,"pathetic flow of order cancellation, in","pathetic flow of order cancellation, in the term off food waste they keep delaying and after that you will be charged 100% amount for the cancellation. The negative rating isn't possible if it was i have given -infitite.",2026-07-04T13:36:30Z
play_9ff1794f-6653-495c-8aae-313840cc14e5,GOOGLE_PLAY,Alfiya Khan,5,good app,good app,2026-07-04T13:32:06Z
play_754bb7e6-cf38-4b35-acbd-6f98014e1b34,GOOGLE_PLAY,Mamta Gund,1,Absolutely pathetic service from Swiggy,"Absolutely pathetic service from Swiggy. My biryani took 1 hour 45 minutes to arrive, and when it finally did, the packaging was so bad that the rice was literally visible and the order was wet. Your customer support kept wasting my time by first asking for a video, then photos, and making false promises of a resolution without actually doing anything. On top of that, you charged a handling fee for this joke of a service. This is completely unacceptable and shows how you care about your customer",2026-07-04T13:29:12Z
play_6c4b9b77-1380-4b50-94f5-4eb26bc3b269,GOOGLE_PLAY,Pooja Kadam,5,nice,nice,2026-07-04T13:28:31Z
play_df2efca7-6617-4130-a662-f82ce762d121,GOOGLE_PLAY,PSDiana Priyanka,1,Ordered 750ml Chicken biryani,"Ordered 750ml Chicken biryani. Instead they sent 500ml only. when I contacted Swiggy chat support simply they said the restaurant standardized portion options, and immediately they ended chat. I'm not even able to chat again. Then why did the restaurant mention 750ml and they sent 500ml. Simply cheating customers. Swiggy also does not respond properly.",2026-07-04T13:24:54Z
play_2add2a5b-249c-449e-baf0-cdaa94e82244,GOOGLE_PLAY,Jignisha Solanki,4,good,good,2026-07-04T13:23:35Z
play_00a9e25e-7558-4391-b4cd-cee4f60c2ab2,GOOGLE_PLAY,P K Lahera,5,ok,ok,2026-07-04T13:20:15Z
play_5c701254-c4a0-41b3-a7bd-424b9b13e0d6,GOOGLE_PLAY,Ankit singh,5,good service 🐕‍🦺,good service 🐕‍🦺,2026-07-04T13:20:06Z
play_e2a73234-4dfe-43e2-bcea-a379062c03b3,GOOGLE_PLAY,Muruga Selvam,5,very good,very good,2026-07-04T13:19:30Z
play_b31786b0-42c8-4312-b5b6-e4dacf9fb272,GOOGLE_PLAY,Abi Mani,5,good,good,2026-07-04T13:18:43Z
play_19c776ff-9844-405d-96a5-a4f9d0a33203,GOOGLE_PLAY,Vibha Thapa,5,good 👍,good 👍,2026-07-04T13:18:22Z
play_69434054-6921-4401-9956-b965aa7a6650,GOOGLE_PLAY,Ravi Mathur,5,very hard working delivery boys,very hard working delivery boys.,2026-07-04T13:16:33Z
play_bb4d1f6a-57aa-44bb-9418-0f86cd224c60,GOOGLE_PLAY,Akash Kushwaha,5,good,good,2026-07-04T13:16:03Z
play_84bf8bb3-d9d2-4384-a2c8-14cbcbb2bbef,GOOGLE_PLAY,Rushikesh Sonawane,5,पाण्या पावसाची सुद्धा ऑर्डर घेऊन येतात,पाण्या पावसाची सुद्धा ऑर्डर घेऊन येतात. मस्त अँप आहे,2026-07-04T13:15:48Z
play_f385b0e0-50fc-42bd-9712-769583e1e202,GOOGLE_PLAY,Sanjay Surwade,5,good service,good service,2026-07-04T13:13:46Z
play_3eb979c1-212e-4b42-90eb-9e8654875fb6,GOOGLE_PLAY,Harshada Rahul Shende,5,best service,best service,2026-07-04T13:11:53Z
play_956f1d88-4a32-4a71-8b77-a394fd925f9d,GOOGLE_PLAY,Kishore Kulkarni,3,good,good,2026-07-04T13:11:15Z
play_c2e9bcc5-4b34-4b87-b2d4-67e44891e921,GOOGLE_PLAY,navroop kaur,5,great,great,2026-07-04T13:09:12Z
play_4c547397-ca75-4a13-a716-9ffd70419154,GOOGLE_PLAY,lavanya Upare,5,best ap,best ap,2026-07-04T13:08:59Z
play_4b36e951-f458-4a8a-a996-3b8128ac7e34,GOOGLE_PLAY,Laxman Keniya,5,super,super,2026-07-04T13:08:44Z
